Choice_Name,Choice_Value,Station,Process_#,Process_Name,Option,7.0x20,7.0x24,8.5x20,8.5x24,8.5x28,8.5x28FB,People,Respoinsible,Actual Person,Time Spent,,7.0x20_,7.0x24_,8.5x20_,8.5x24_,8.5x28_,8528FB_
,,1,480,Drill Weep Holes,,10,10,10,10,10,10,1,,,,,10,10,10,10,10,10
,,1,490,Fresh tank,,25,25,25,25,25,25,1,,,,,25,25,25,25,25,25
,,1,500,Waste tanks ,,15,15,15,15,15,15,1,,,,,15,15,15,15,15,15
Generator_Choices_ProdFuelTank,1,1,510,Fuel Tank,*,25,25,25,25,25,25,1,,,,,0,0,0,0,0,0
,,1,520,Tank wiring and plumbing hook up,,70,70,70,70,70,70,1,,,,,70,70,70,70,70,70
Plumbing_3Season_Choices_Prod,1,1,530,3 Season Plumbing,*,20,20,20,20,20,20,1,,,,,0,0,0,0,0,0
,,1,540,Set Axles ,,20,20,20,20,20,20,1,,,,,20,20,20,20,20,20
,,1,550,Brake wires,,20,20,20,20,20,20,1,,,,,20,20,20,20,20,20
,,1,560,Stamp VIN on Frame,,3,3,3,3,3,3,1,,,,,3,3,3,3,3,3
Generator_Choices_ProdGenFuelLine,1,1,570,Run fuel lines & carb canister for Gen,*,,,30,30,30,30,1,,,,,0,0,0,0,0,0
Generator_Choices_ProdTankFuelLine,1,1,580,Run Fuel Line for Filling Station,*,,,10,10,10,10,1,,,,,0,0,0,0,0,0
,,1,590,Install wheels,,15,15,15,15,15,15,1,,,,,15,15,15,15,15,15
,,1,600,Install Jacks; Sewer Hose; Spare Tire Rack; sewage hose holder,,25,25,25,25,25,25,1,,,,,25,25,25,25,25,25
,,1,610,Fasten Water Line,,35,35,35,35,35,35,1,,,,,35,35,35,35,35,35
,,1,620,Fresh Water Fill and Vent Hoses,,5,5,5,5,5,5,1,,,,,5,5,5,5,5,5
,,,,,,,,,,,,,,,,,,,,,,
,,,,Total (Min),,1316,1359,1356,1383,1488,1473,,,,,,1161,1204,1161,1188,1223,1258
,,,,Total (Hours),,21.9,22.7,22.6,23.1,24.8,24.6,,,,,,19.4,20.1,19.4,19.8,20.4,21.0
